id,nom_electeur,prenom_electeur,dateNaissance,lieuNaissance,numCIN,adresse,profession,email,image,numTel,id_fokontany
186,Ralay,Velo,1941-06-22,Antalaha,101245876315,Toamasina,barman,ralay.velo960@gmail.com,,0346602480,52
187,Raly,Vahambola,1992-03-17,Sambava,101245876316,Nosy Be,décolleteur,raly.vahambola817@gmail.com,,0321869626,35
188,Rambolarimanana,Vahatra,1940-07-23,Morondava,101245876317,Toamasina,accompagnateur de tourisme équestre,rambolarimanana.vahatra260@gmail.com,,0338986175,22
189,Ranja,Vahinala,1979-12-16,Farafangana,101245876318,Antsiranana,chargé de référencement web,ranja.vahinala139@gmail.com,,0331062248,9
190,Ranjalahy,Vahisoa,1970-03-18,Antalaha,101245876319,Ambatondrazaka,chef de station de traitement des eaux,ranjalahy.vahisoa330@gmail.com,,0334505419,23
191,Ranjatiana,Vaingoka,1994-09-10,Ambositra,101245876320,Antsirabe,paysagiste,ranjatiana.vaingoka810@gmail.com,,0338342527,18
192,Ranjatohery,Vakoka,1992-10-07,Mahajanga,101245876321,Ambohimahasoa,plombier,ranjatohery.vakoka706@gmail.com,,0339542691,1
193,Ranoro,Valiavo,1935-11-16,Manakara,101245876322,Sambava,cartographe,ranoro.valiavo132@gmail.com,,0334984539,32
194,Ranto,Valiha,1944-10-19,Fianarantsoa,101245876323,Antsiranana,technicien en automatismes,ranto.valiha459@gmail.com,,0326345105,9
195,Raomy,Valimpitia,1954-11-05,Antsirabe,101245876324,Antananarivo,ouvrier paysagiste,raomy.valimpitia330@gmail.com,,0328585975,26
196,Raony,Valintiana,1939-06-18,Antalaha,101245876325,Antsiranana,ingénieur analyste de l'air,raony.valintiana280@gmail.com,,0341680455,56
197,Rary,Valisoa,1954-09-18,Ambositra,101245876326,Manakara,ingénieur pétrolier pétrolière,rary.valisoa352@gmail.com,,0346628439,37
198,Rasoloniaina,Valohery,1951-11-27,Morondava,101245876327,Ambohimahasoa,analyste de crédit,rasoloniaina.valohery581@gmail.com,,0326905329,31
199,Ravaka,Vania,1976-07-06,Antsirabe,101245876328,Ambohimahasoa,infirmier,ravaka.vania485@gmail.com,,0338572842,2
200,Ravao,Vaniala,1939-12-28,Antananarivo,101245876329,Toliara,hydraulicien,ravao.vaniala212@gmail.com,,0339266484,13
201,Ravelo,Vaninala,1963-02-24,Nosy Be,101245876330,Morondava,technicien de forge,ravelo.vaninala205@gmail.com,,0326045053,6
202,Ravo,Vanona,1968-07-09,Antalaha,101245876331,Sambava,syndic de copropriété,ravo.vanona191@gmail.com,,0334784843,48
203,Ravotany,Vanondahy,1948-07-19,Antsirabe,101245876332,Farafangana,horloger,ravotany.vanondahy797@gmail.com,,0326489915,41
204,Razay,Vanontiana,1989-11-13,Farafangana,101245876333,Fianarantsoa,rudologue,razay.vanontiana524@gmail.com,,0325121677,41
205,Razery,Vao,1955-08-05,Ambositra,101245876334,Antsirabe,contrôleur des douanes et droits indirects,razery.vao69@gmail.com,,0342164326,16
206,Redy,Vaonala,1956-09-04,Morondava,101245876335,Antsiranana,collecteur de fonds,redy.vaonala742@gmail.com,,0339892320,3
207,Rehareha,Vaosoa,1990-09-03,Mahajanga,101245876336,Toamasina,agent de développement des énergies renouvelables,rehareha.vaosoa543@gmail.com,,0346056826,52
208,Rejo,Vaosolo,1958-12-21,Mahajanga,101245876337,Antsirabe,webmestre,rejo.vaosolo356@gmail.com,,0322669500,19
209,Remenabila,Vatosoa,1979-10-09,Toliara,101245876338,Antalaha,ingénieur hydrogéomorphologue,remenabila.vatosoa692@gmail.com,,0337951831,56
210,Reniala,Vatra,1968-05-02,Antananarivo,101245876339,Ambatondrazaka,directeur de création,reniala.vatra303@gmail.com,,0328730920,8
211,Renjy,Vatsy,1956-03-23,Morondava,101245876340,Manakara,technicien plasturgiste,renjy.vatsy97@gmail.com,,0339612773,39
212,Riaka,Vazo,1949-04-09,Mahajanga,101245876341,Manakara,ingénieur de la police technique et scientifique,riaka.vazo918@gmail.com,,0324365532,49
213,Rialy,Vero,1939-10-31,Antsiranana,101245876342,Ambohimahasoa,magasinier cariste,rialy.vero651@gmail.com,,0324202502,55
214,Riana,Verohanitra,1964-10-31,Fianarantsoa,101245876343,Antsiranana,conducteur de train,riana.verohanitra964@gmail.com,,0327990086,11
215,Rianala,Verohanta,1997-03-16,Toamasina,101245876344,Toamasina,gérant de portefeuille,rianala.verohanta13@gmail.com,,0345857955,54
216,Rianto,Veromanitra,1976-02-05,Farafangana,101245876345,Mahajanga,consultant en solutions intégrées,rianto.veromanitra885@gmail.com,,0323121994,28
217,Riantsoa,Verotiana,1964-11-24,Manakara,101245876346,Antalaha,agent de constatation des douanes,riantsoa.verotiana170@gmail.com,,0348677943,28
218,Rify,Vimbina,1960-11-04,Fianarantsoa,101245876347,Antsirabe,ingénieur en mécanique,rify.vimbina44@gmail.com,,0341095864,35
219,Rija,Vina,1979-03-27,Manakara,101245876348,Farafangana,démographe,rija.vina39@gmail.com,,0322350013,40
220,Rima,Vivato,1944-01-03,Manakara,101245876349,Fianarantsoa,démographe,rima.vivato339@gmail.com,,0329206541,20
221,Rina,Vivy,1982-05-08,Fianarantsoa,101245876350,Antalaha,secrétaire des affaires étrangères,rina.vivy857@gmail.com,,0321592598,5
222,Rinantsoa,Voahangy,2003-11-21,Ambohimahasoa,101245876351,Manakara,ingénieur en métrologie,rinantsoa.voahangy946@gmail.com,,0345068284,51
223,Rindra,Voahary,2007-07-16,Manakara,101245876352,Antsirabe,glaciologue,rindra.voahary431@gmail.com,,0325824799,59
224,Rindraniaina,Voahirana,1938-04-26,Fianarantsoa,101245876353,Sambava,chargé d'affaires en génie climatique,rindraniaina.voahirana445@gmail.com,,0325436138,8
225,Rindranirina,Voara,1970-02-10,Antalaha,101245876354,Manakara,coloriste,rindranirina.voara830@gmail.com,,0322228120,34
226,Rindratiana,Voary,1970-09-09,Antsiranana,101245876355,Toliara,aide-soignant,rindratiana.voary164@gmail.com,,0336141907,57
227,Ririva,Voatsasie,1949-04-24,Ambohimahasoa,101245876356,Antsirabe,responsable de formation,ririva.voatsasie41@gmail.com,,0331209382,28
228,Rivo,Voatse,1993-09-14,Morondava,101245876357,Nosy Be,géomaticien,rivo.voatse177@gmail.com,,0346177903,50
229,Rivohery,Vokatra,1977-04-01,Toamasina,101245876358,Mahajanga,ingénieur structures,rivohery.vokatra802@gmail.com,,0342190922,24
230,Rivolala,Vola,2004-02-29,Antalaha,101245876359,Antsiranana,chargé d'affaires en génie climatique,rivolala.vola817@gmail.com,,0327208440,53
231,Rivonala,Volahanta,1986-12-26,Manakara,101245876360,Ambohimahasoa,prototypiste en matériaux souples,rivonala.volahanta173@gmail.com,,0339941346,8
232,Rivoniaina,Volamasoandro,1960-06-05,Morondava,101245876361,Ambatondrazaka,designer graphique,rivoniaina.volamasoandro768@gmail.com,,0336552056,4
233,Rivonirina,Volamena,1940-08-07,Toliara,101245876362,Ambositra,technicien télécoms et réseaux,rivonirina.volamena825@gmail.com,,0343715041,34
234,Rivosoa,Volana,1993-11-27,Sambava,101245876363,Ambatondrazaka,accessoiriste,rivosoa.volana792@gmail.com,,0346643543,60
235,Roby,Volantsoa,2005-04-27,Antalaha,101245876364,Ambositra,orthodontiste,roby.volantsoa789@gmail.com,,0337526840,23
236,Rohintsoa,Volarivony,1961-05-17,Toliara,101245876365,Fianarantsoa,illustrateur,rohintsoa.volarivony880@gmail.com,,0328867327,35
237,Rohy,Volasoa,1993-04-04,Nosy Be,101245876366,Antalaha,assistant de service social,rohy.volasoa837@gmail.com,,0341813546,27
238,Rojo,Volatiana,1979-07-02,Mahajanga,101245876367,Fianarantsoa,rédacteur médical médicale,rojo.volatiana833@gmail.com,,0344265830,46
239,Rondro,Volatsara,1977-04-13,Ambohimahasoa,101245876368,Sambava,styliste,rondro.volatsara210@gmail.com,,0344221898,41
240,RondronirinaHerivelona,Vololona,1951-07-10,Ambohimahasoa,101245876369,Farafangana,télévendeur,rondronirinaherivelona.vololona238@gmail.com,,0332375577,46
241,Rotsy,Vonifanja,1975-06-08,Ambatondrazaka,101245876370,Morondava,mécanicien et technicien,rotsy.vonifanja373@gmail.com,,0345465477,38
242,Rova,Vonihanitra,1976-08-26,Mahajanga,101245876371,Ambositra,syndic de copropriété,rova.vonihanitra12@gmail.com,,0327477754,43
243,Rovalala,Vonimanitra,1990-02-21,Antananarivo,101245876372,Antalaha,gestionnaire de contrats d'assurance,rovalala.vonimanitra22@gmail.com,,0348156781,43
244,Rovasoa,Vonimbola,1989-04-29,Fianarantsoa,101245876373,Antananarivo,technicien en traitement des matériaux,rovasoa.vonimbola461@gmail.com,,0334761548,58
245,,Voninahitra,1974-10-19,Antalaha,101245876374,Sambava,pharmacien dans l'industrie,.voninahitra219@gmail.com,,0327981666,42
